Date : 2026-01-03 02:25:36
Directory : d:\Roblox Studio\Games\JoJoSteelBallCrusaders\src
Total : 217 files,  20756 codes, 2591 comments, 4815 blanks, all 28162 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
+----------+------------+------------+------------+------------+------------+
| Luau     |        217 |     20,756 |      2,591 |      4,815 |     28,162 |
+----------+------------+------------+------------+------------+------------+

Directories
+-----------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                              | files      | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| d:\Roblox Studio\Games\JoJoSteelBallCrusaders\src\server\BasicCombat\BlockModule.luau                                             | Luau     |        164 |         25 |         44 |        233 |
| d:\Roblox Studio\Games\JoJoSteelBallCrusaders\src\server\BasicCombat\CombatUtils.luau                                             | Luau     |        844 |        149 |        198 |      1,191 |
| d:\Roblox Studio\Games\JoJoSteelBallCrusaders\src\server\BasicCombat\GeneralCombat.luau                                           | Luau     |         70 |         11 |         18 |         99 |
| d:\Roblox Studio\Games\JoJoSteelBallCrusaders\src\server\BasicCombat\HitboxSpawner.luau                                           | Luau     |        996 |         87 |        181 |      1,264 |
| d:\Roblox Studio\Games\JoJoSteelBallCrusaders\src\server\BasicCombat\Hurtboxes.server.luau                                        | Luau     |         38 |          8 |         10 |         56 |
| d:\Roblox Studio\Games\JoJoSteelBallCrusaders\src\server\BasicCombat\Managers\ArcProjectileManager.luau                           | Luau     |        116 |         11 |         28 |        155 |
| d:\Roblox Studio\Games\JoJoSteelBallCrusaders\src\server\BasicCombat\Managers\CombatManager.luau                                  | Luau     |         78 |         11 |         22 |        111 |
| d:\Roblox Studio\Games\JoJoSteelBallCrusaders\src\server\BasicCombat\Managers\ForceDefaultAvatar.server.luau                      | Luau     |         42 |          6 |         12 |         60 |
| d:\Roblox Studio\Games\JoJoSteelBallCrusaders\src\server\BasicCombat\Managers\GuidedProjectileManager.luau                        | Luau     |        121 |         13 |         28 |        162 |
| d:\Roblox Studio\Games\JoJoSteelBallCrusaders\src\server\BasicCombat\Managers\PreventCharacterRotation.server.luau                | Luau     |         19 |          2 |          5 |         26 |
| d:\Roblox Studio\Games\JoJoSteelBallCrusaders\src\server\BasicCombat\Managers\ProjectileManager.luau                              | Luau     |        111 |         17 |         22 |        150 |
| d:\Roblox Studio\Games\JoJoSteelBallCrusaders\src\server\BasicCombat\Managers\SetAbilityTypes.server.luau                         | Luau     |         41 |          7 |         12 |         60 |
| d:\Roblox Studio\Games\JoJoSteelBallCrusaders\src\server\BasicCombat\Managers\SlowingFieldRegistry.luau                           | Luau     |         29 |         15 |         12 |         56 |
